BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,0,0,0,1,0,2,.246,.742
"Soto, JRF",3,2,1,0,2,0,2,.255,.901
a-MazaraPH-RF,1,0,0,0,0,1,2,.266,.672
"Machado, MDH",4,1,2,0,1,1,2,.305,.909
Drury3B,5,1,1,1,0,1,6,.267,.836
Bell1B,4,2,1,0,1,1,1,.281,.824
Cronenworth2B,4,1,2,4,1,0,2,.239,.730
GrishamCF,3,2,0,0,2,0,3,.199,.672
KimSS,4,1,3,4,1,0,0,.255,.714
"Nola, AuC",4,0,1,0,1,0,2,.244,.634
,36,10,11,9,10,4,22,,
