PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"López, P(L, 7-8)",4.2,6,6,6,3,2,1,3.83
Bleier,1.0,2,0,0,2,0,0,3.79
Sulser,1.1,0,0,0,0,1,0,3.65
Brazoban,1.0,0,1,1,3,0,0,2.19
"Hernandez, E",1.0,3,3,3,2,1,0,6.33
,9.0,11,10,10,10,4,1,
