BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Wong, Ko2B",5,0,1,1,0,1,1,.246,.739
"Urías, LSS",4,1,1,0,1,2,1,.294,.834
YelichLF,5,1,1,0,0,1,2,.237,.757
RenfroeRF,3,1,2,1,1,1,0,.250,.797
"Taylor, TCF",5,1,2,1,0,1,3,.214,.600
TellezDH,4,0,1,1,1,2,3,.236,.803
Brosseau3B,3,0,1,1,0,1,3,.279,.796
a-PetersonPH-3B,1,2,0,0,1,0,2,.224,.704
Hiura1B,5,1,1,2,0,1,4,.214,.727
CaratiniC,3,0,0,0,1,1,1,.205,.603
,38,7,10,7,5,11,20,,
