BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
FriedlLF,3,0,0,0,1,1,3,.245,.768
RomineC,1,0,0,0,0,0,1,.164,.465
Steer3B,5,1,1,0,0,0,2,.221,.664
"Farmer, KDH",4,1,1,2,0,1,0,.255,.705
FraleyRF,4,1,1,1,0,1,0,.249,.795
FairchildCF-LF,4,0,0,0,0,0,0,.253,.803
"Lopez, A2B",4,0,0,0,0,1,0,.274,.677
"Reynolds, M1B",4,0,1,0,0,2,0,.252,.665
BarreroSS,4,0,3,0,0,0,1,.164,.420
"Robinson, CC",2,0,0,0,0,0,2,.096,.269
a-SolanoPH,0,0,0,0,0,0,0,.292,.742
1-SianiPR-CF,1,0,0,0,0,0,1,.200,.400
,36,3,7,3,1,6,10,,
