Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2016,,,,,,,,,97,,,,,,25,,
2017,100,89,100,100,99,100,100,100,100,100,5,100,4,82,75,97,
2018,98,80,94,95,97,88,98,100,100,100,4,96,2,87,76,67,
2019,96,78,95,96,96,86,99,100,99,100,3,95,2,84,80,94,
2020,,,,,,,,,91,,,,,,47,,99
2021,99,99,98,94,97,98,96,100,100,100,25,85,23,76,64,45,90
2022,100,99,100,100,100,100,100,100,99,100,25,99,18,84,50,85,93
