Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,455",50.1,350,299,102,50,17,0,35,72,230,.341,.349,.749,.805,.488,.512,97.8,14,22.1,18.9
2022,Breaking,987,34.0,214,180,57,25,10,0,22,62,119,.317,.281,.739,.694,.481,.451,94.3,19,37.4,18.5
2022,Offspeed,463,15.9,113,91,18,12,1,0,5,41,51,.198,.210,.374,.402,.325,.338,90.8,9,40.5,23.6
2021,Fastballs,"1,345",51.1,331,284,94,56,13,0,25,60,226,.331,.363,.641,.722,.443,.489,98.6,10,19.5,17.9
2021,Breaking,894,34.0,192,167,45,29,9,0,7,60,110,.269,.274,.449,.501,.344,.369,93.6,14,38.5,20.1
2021,Offspeed,393,14.9,102,94,17,10,2,0,5,37,57,.181,.203,.362,.383,.263,.283,89.5,12,44.4,28.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
