PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Darvish(W, 1-0)",7.0,6,1,1,0,4,1,1.29
"Suarez, R",1.0,0,0,0,0,0,0,0.00
"García, L",1.0,1,0,0,1,1,0,0.00
,9.0,7,1,1,1,5,1,
