BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,3,2,2,3,1,0,0,.667,2.417
"Soto, JRF",4,0,0,0,0,1,2,.000,.000
"Machado, M3B",4,1,1,1,0,1,1,.250,1.250
BellDH,4,1,1,2,0,1,0,.250,1.250
Cronenworth2B,4,0,0,0,0,2,0,.000,.000
Myers1B,4,0,0,0,0,3,0,.000,.000
KimSS,3,1,2,0,1,1,0,.667,1.750
GrishamCF,4,1,1,1,0,0,2,.250,1.250
"Nola, AuC",4,1,1,0,0,2,1,.250,.750
,34,7,8,7,2,11,6,,
