BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,0,1,0,0,0,1,.250,1.000
LindorSS,3,0,0,0,0,0,1,.000,.250
McNeil2B,4,0,1,0,0,0,0,.250,.500
Alonso1B,4,0,1,0,0,2,2,.250,.500
VogelbachDH,4,0,0,0,0,0,3,.000,.000
"Marte, SRF",4,0,2,0,0,0,1,.500,1.000
CanhaLF,4,0,0,0,0,0,2,.000,.000
Escobar3B,3,1,2,1,1,1,1,.667,2.750
NidoC,2,0,0,0,0,0,1,.000,.000
a-GuillormePH,1,0,0,0,0,1,1,.000,.000
McCannC,0,0,0,0,0,0,0,.000,.000
"b-Álvarez, FPH",1,0,0,0,0,1,2,.000,.000
,34,1,7,1,1,5,15,,
