PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
"Martinez, A(L, 4-4)",3.2,14,7,7,1,2,1,5.59
Snead,2.0,3,0,0,0,2,0,6.00
Moll,0.1,0,0,0,0,0,0,2.74
"Tapia, D",1.2,3,3,3,3,1,0,8.47
"Ruiz, N",1.1,0,0,0,0,1,0,7.94
,9.0,20,10,10,4,6,1,
