BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Kemp2B,3,0,0,0,0,0,0,.230,.613
Machín3B,4,1,0,0,0,0,2,.212,.564
"Murphy, SDH",3,0,0,0,1,2,2,.251,.770
"Brown, SRF",4,0,2,0,0,0,0,.231,.735
PacheCF,0,0,0,0,0,0,0,.157,.439
LaureanoCF-RF,3,1,0,0,0,1,4,.214,.668
Vogt1B,2,0,0,1,0,1,1,.176,.584
"Garcia, Der1B",1,0,0,0,0,0,0,.271,.822
LangeliersC,4,0,0,0,0,3,4,.210,.644
"Thomas, CodLF",4,0,0,0,0,2,1,.333,.697
"Allen, NSS",3,0,1,0,0,0,0,.203,.535
,31,2,3,1,1,9,14,,
