BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,5,0,1,1,0,0,1,.244,.708
SeagerSS,3,0,1,0,1,0,1,.249,.795
"Lowe, N1B",4,0,2,0,0,0,1,.274,.765
"García, AdRF",4,0,1,0,0,2,3,.239,.728
TaverasCF,3,0,0,0,1,1,3,.326,.895
CalhounDH,2,0,0,0,0,1,0,.219,.664
a-CulbersonPH-DH,1,0,0,0,0,0,3,.259,.586
b-HeimPH-DH,1,0,1,0,0,0,0,.262,.777
"Smith, JoshLF",3,0,0,0,0,0,2,.207,.596
"Duran, E3B",3,1,1,0,1,2,1,.260,.714
ViloriaC,4,0,0,0,0,2,2,.188,.569
,33,1,7,1,3,8,17,,
