PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
Bush,1.0,0,0,0,0,1,0,3.21
Hearn,3.1,3,0,0,1,3,0,5.50
"Santana, D(L, 3-6)",0.2,0,2,1,3,0,0,4.26
Moore,2.0,1,1,0,0,2,0,1.61
"Hernández, J",1.0,2,0,0,0,0,0,0.00
,8.0,6,3,1,4,6,0,
