PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Pivetta,5.0,6,5,5,4,8,2,4.48
Brasier,1.0,0,0,0,0,2,0,6.02
"Schreiber(L, 3-4)",1.0,2,2,2,2,2,1,2.18
Bazardo,1.0,0,0,0,0,0,0,3.60
,8.0,8,7,7,6,12,3,
