BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rojas, MSS",4,1,2,0,1,0,2,.253,.686
Aguilar1B,5,0,2,1,0,1,3,.252,.708
"Anderson, B3B",5,0,2,0,0,2,3,.278,.798
De La CruzRF-LF,5,1,1,2,0,0,5,.215,.623
FortesC,3,0,0,0,1,1,0,.277,.946
StallingsDH,5,0,0,0,0,2,2,.194,.507
"Sánchez, JCF",4,0,1,0,0,1,0,.215,.685
"Williams, L2B",3,1,1,0,0,1,1,.255,.689
a-WendlePH-2B,1,0,0,0,0,0,0,.289,.764
HamiltonLF,2,0,0,0,0,0,0,.000,.000
"b-García, AvPH-RF",1,0,1,0,0,0,0,.232,.601
,38,3,10,3,2,8,16,,
