PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Bassitt(L, 0-1)",4.0,3,3,3,3,2,0,6.75
"Peterson, D",1.0,2,1,1,0,0,0,4.50
"Smith, Dr",1.0,1,0,0,0,1,0,0.00
Lugo,0.2,2,0,0,0,2,0,0.00
Givens,0.1,1,2,2,1,1,0,13.50
Díaz,1.0,1,0,0,0,1,0,0.00
May,1.0,0,0,0,0,2,0,0.00
,9.0,10,6,6,4,9,0,
