PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Anderson(W, 10-1)",6.0,3,0,0,2,4,0,2.96
Almonte,1.0,1,0,0,1,1,0,1.40
"Phillips, E",1.0,0,0,0,0,1,0,1.50
Kimbrel,1.0,1,0,0,0,1,0,4.35
,9.0,5,0,0,3,7,0,
