PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Hudson, D(L, 6-6)",6.2,6,4,4,1,3,1,4.10
VerHagen,0.2,2,0,0,1,0,0,6.65
McFarland,1.2,0,0,0,0,0,0,6.99
,9.0,8,4,4,2,3,1,
