PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Nola, Aa(L, 2-2)",4.0,7,3,3,0,4,0,4.91
Alvarado,1.0,2,2,2,0,2,0,4.50
Bellatti,1.0,0,0,0,0,1,0,1.29
Robertson,1.0,0,0,0,1,1,0,1.59
Eflin,1.0,0,0,0,0,3,0,4.15
Hand,1.0,1,0,0,0,0,0,4.76
,9.0,10,5,5,1,11,0,
