PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gilbert, L(W, 13-6)",6.0,4,1,1,1,11,0,3.13
Boyd,1.1,2,0,0,0,2,0,0.00
Castillo. D,0.2,1,0,0,0,1,0,3.97
Murfee,1.0,1,0,0,1,1,0,2.49
,9.0,8,1,1,2,15,0,
