PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Burnes(L, 10-7)",7.0,7,3,3,1,5,2,2.97
Boxberger,0.2,3,1,1,0,0,0,3.00
Kelley,0.1,0,0,0,1,0,0,5.91
,8.0,10,4,4,2,5,2,
