BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichLF,5,0,2,0,0,1,1,.260,.751
AdamesSS,4,0,1,0,1,2,2,.235,.758
Tellez1B,4,0,2,0,1,0,5,.228,.785
RenfroeRF,5,0,1,0,0,2,3,.252,.803
"Wong, Ko2B",3,0,1,0,1,0,2,.247,.745
McCutchenDH,4,0,0,0,0,2,6,.242,.707
Peterson3B,3,1,1,0,1,0,0,.256,.748
NarváezC,4,0,1,0,0,1,1,.213,.625
"Taylor, TCF",3,0,1,1,0,2,1,.224,.717
,35,1,10,1,4,10,21,,
