BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
EdmanSS-2B,4,0,0,0,0,1,3,.268,.738
DickersonLF,4,0,1,0,0,2,1,.296,.764
DeJongSS,0,0,0,0,0,0,0,.157,.562
Goldschmidt1B,3,0,2,0,1,0,0,.324,1.015
Arenado3B,4,1,1,1,0,0,4,.298,.913
Donovan2B,3,1,1,0,0,0,1,.286,.770
O'NeillLF,1,1,1,0,0,0,0,.230,.705
PujolsDH,3,0,1,1,0,1,1,.266,.864
BurlesonRF,3,0,1,0,0,0,1,.167,.398
DeLuzioCF,0,0,0,0,1,0,0,.333,.933
MolinaC,4,0,1,1,0,0,2,.218,.544
NootbaarCF-RF,3,1,1,1,0,1,2,.224,.782
,32,4,10,4,2,5,15,,
