PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"White, M(L, 1-5)",4.2,8,6,6,1,5,1,4.67
"Richards, T",1.1,0,0,0,0,2,0,4.53
Phelps,0.2,2,1,1,0,2,0,2.92
"Garcia, Y",1.1,0,0,0,0,1,0,2.44
Mayza,1.0,0,0,0,0,2,0,2.95
,9.0,10,7,7,1,12,1,
