PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
Hutchison,5.1,7,1,1,1,4,0,4.23
"Vest(L, 3-3)",1.0,1,2,2,1,1,0,3.91
Chafin,0.2,1,1,1,0,2,1,2.54
"Peralta, Wi",1.0,0,0,0,1,0,0,2.58
,8.0,9,4,4,3,7,1,
