PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Cortes,4.0,2,2,2,0,2,0,2.73
Schmidt,3.0,2,0,0,1,2,0,2.82
"Peralta, Wa(L, 2-4)",0.2,0,1,0,0,2,0,2.55
Weissert,0.1,2,1,1,0,0,1,8.22
Weber,1.0,2,0,0,0,0,0,1.04
,9.0,8,4,2,1,6,1,
