,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,641,573,72,155,17,72,9,.271,.342,.440,.782
6 Seasons,2438,2127,305,530,104,308,37,.249,.339,.460,.799
