Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2017,22,28.9,4.19,3,25,5,62,90.9
2018,23,27.7,4.31,,50,24,230,65.8
2019,24,27.7,4.2,2,29,32,214,68.8
2020,25,27.1,4.33,,51,35,219,56.4
2021,26,27.7,4.38,,25,38,223,67.1
2022,27,27.9,4.32,,33,38,213,66.0
