 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2017,,413,16.6,29.5%,2.4%,302,22.2,2.0%,10.9%
2018,,610,16.2,37.4%,1.8%,315,22.4,2.2%,7.6%
2019,,170,17.7,20.0%,3.5%,95,22.3,1.1%,10.5%
2020,,319,16.9,28.2%,1.6%,143,22.7,0.7%,8.4%
2021,,713,17.4,22.9%,2.0%,390,24.0,1.0%,15.4%
2022,,654,17.2,28.1%,1.8%,508,23.0,0.4%,11.2%
