 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2017,,415,"1,654",0,-15,12,8,4
2018,,454,"1,925",-8,-8,16,9,9
2019,,155,630,2,-3,7,2,8
2020,,238,963,3,-5,4,7,9
2021,,535,"2,250",2,-22,19,13,12
2022,,632,"2,549",-8,-18,21,7,3
