PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
"Greene, H",6.0,3,1,1,4,9,0,5.70
"Farmer, B",1.0,0,0,0,0,1,0,6.23
Gibaut,1.0,3,2,2,2,0,0,4.91
Strickland,1.0,1,0,0,0,0,0,4.99
"Hoffman(W, 2-0)",1.0,1,1,0,1,0,0,3.07
,10.0,8,4,3,7,10,0,
