Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,604",63.6,399,361,108,81,17,2,8,92,269,.299,.274,.424,.406,.349,.332,90.5,5,24.2,19.3
2022,Breaking,691,27.4,173,164,48,29,4,1,14,43,121,.293,.268,.585,.560,.390,.368,89.8,15,28.2,17.9
2022,Offspeed,228,9.0,70,68,23,13,5,0,5,12,56,.338,.295,.632,.495,.422,.349,88.8,6,20.5,14.5
2021,Fastballs,"1,825",67.8,418,348,94,72,16,1,5,99,250,.270,.236,.365,.356,.341,.327,90.5,4,23.9,17.6
2021,Breaking,550,20.4,141,132,30,18,4,1,7,53,80,.227,.214,.432,.437,.298,.296,92.1,11,25.8,27.2
2021,Offspeed,315,11.7,81,77,23,12,4,1,6,10,68,.299,.272,.610,.541,.385,.352,90.5,3,17.2,10.3
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
