Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,L,170,78,45.9,.343,.306
2020,L,74,27,36.5,.313,.315
2021,L,640,176,27.5,.317,.389
2022,L,640,117,18.3,.382,.317
