 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,170,700,0,-7,4,2,-1
2020,,77,305,-2,-3,1,2,-3
2021,,640,"2,691",-2,-15,23,12,18
2022,,643,"2,525",13,-10,12,10,26
