 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2018,,19,17.1,31.6%,0.0%,5,22.2,0.0%,20.0%
2019,,215,17.5,22.3%,0.0%,97,22.6,0.0%,12.4%
2020,,115,17.7,14.8%,3.5%,55,25.3,0.0%,18.2%
2021,,917,18.9,10.0%,2.4%,482,25.3,0.0%,16.2%
2022,,791,18.3,15.8%,1.8%,461,23.1,0.2%,12.1%
