,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2018,HOU,AL,9,10,9,4,3,0,0,1,1,1,0,2,0,0,.333,.400,.667,1.067
,2019,HOU,AL,56,128,108,27,29,4,2,0,7,19,24,8,1,0,.269,.378,.343,.721
,2020,HOU,AL,33,86,82,8,17,4,0,0,8,4,22,6,2,0,.207,.244,.256,.500
,2021,HOU,AL,98,370,325,44,85,13,1,2,34,38,71,17,5,2,.262,.339,.326,.665
,2021,CLE,AL,60,268,239,42,68,16,0,2,14,29,50,13,1,0,.285,.362,.377,.739
,2021,2 Teams,,158,638,564,86,153,29,1,4,48,67,121,30,6,2,.271,.349,.348,.697
,2022,CLE,AL,152,596,535,72,118,22,3,0,32,54,87,21,1,1,.221,.291,.273,.564
,5 Seasons,2 Teams,,408,1458,1298,197,320,59,6,5,96,145,254,67,10,3,.247,.322,.313,.635
