Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2018,R,10,1,10.0,.272,2.031
2019,R,128,0,0.0,.323,
2020,R,86,0,0.0,.223,
2021,R,634,0,0.0,.311,
2022,R,596,0,0.0,.257,
