Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2018,23,30.1,,3,2,2,11,98.5
2019,24,30.1,3.95,26,2,2,8,99.0
2020,25,28.6,4.18,4,20,11,47,90.8
2021,26,29.3,4.12,50,13,6,25,96.4
2022,27,29.3,4.14,50,19,6,38,94.1
