Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,R,44,7,15.9,.463,.347
2020,R,40,12,30.0,.259,.074
2021,R,263,45,17.1,.312,.406
2022,R,547,16,2.9,.306,.374
