Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,STL,NL,LF,2,0,3.2,0,0,0,0,0,,.000
2019,STL,NL,CF,19,4,68.0,20,19,1,0,1,,1.000
2019,STL,NL,RF,5,0,10.0,3,3,0,0,0,,1.000
2020,STL,NL,CF,7,6,42.1,9,9,0,0,0,,1.000
2020,STL,NL,RF,14,4,55.1,14,12,1,1,1,,.929
2021,STL,NL,2B,1,0,1.1,1,1,0,0,0,,1.000
2021,STL,NL,LF,6,2,22.2,7,7,0,0,0,,1.000
2021,STL,NL,CF,3,2,19.0,6,5,0,1,0,,.833
2021,STL,NL,RF,10,6,63.0,13,13,0,0,0,,1.000
2021,WSH,NL,2B,1,0,2.0,1,0,1,0,0,,1.000
2021,WSH,NL,LF,6,3,31.0,3,3,0,0,0,,1.000
2021,WSH,NL,CF,39,39,338.0,86,78,6,2,1,,.977
2021,2 Teams,,2B,2,0,3.1,2,1,1,0,0,,1.000
2021,2 Teams,,LF,12,5,53.2,10,10,0,0,0,,1.000
2021,2 Teams,,CF,42,41,357.0,92,83,6,3,1,,.967
2022,WSH,NL,LF,73,45,434.0,101,98,2,1,1,,.990
2022,WSH,NL,CF,56,47,392.0,110,107,2,1,1,,.991
2022,WSH,NL,RF,43,33,298.2,97,93,4,0,0,,1.000
2022,WSH,NL,DH,1,0,0.0,0,0,0,0,0,,.000
4 Seasons,2 Teams,,2B,2,0,3.1,2,1,1,0,0,,1.000
,2 Teams,,LF,87,50,491.1,111,108,2,1,1,,.991
,2 Teams,,CF,124,98,859.1,231,218,9,4,3,,.983
,2 Teams,,RF,72,43,427.0,127,121,5,1,1,,.992
,WSH,NL,DH,1,0,0.0,0,0,0,0,0,,.000
