Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2019,23,29.7,,6,6,3,16,97.8
2020,24,28.3,,,26,8,68,86.6
2021,25,29.0,4.36,11,24,7,48,93.0
2022,26,29.4,4.38,39,15,7,32,95.0
