 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,44,175,1,1,2,1,5
2020,,40,171,-3,-5,1,1,-6
2021,,263,"1,115",-5,-4,12,6,8
2022,,548,"2,204",-16,-13,15,9,-5
