savant_id,schedule_id,savant_uri,schedule_url,savant_name,schedule_name,savant_team,schedule_team,official_name,full_name
122,608070,Ramirez_Jose,https://www.mlb.com/player/608070,Jose Ramirez,Ramirez Jo,Cleveland Guardians,Cleveland Guardians,Jose Ramirez,Jose Enrique Ramirez
123,592662,Ray_Robbie,https://www.mlb.com/player/592662,Robbie Ray,Ray,Seattle Mariners,Seattle Mariners,Robbie Ray,Robert Glenn Ray
124,592663,Realmuto_JT,https://www.mlb.com/player/592663,JT Realmuto,Realmuto,Philadelphia Phillies,Philadelphia Phillies,J.T. Realmuto,Jacob Tyler Realmuto
125,592669,Renfroe_Hunter,https://www.mlb.com/player/592669,Hunter Renfroe,Renfroe,Milwaukee Brewers,Milwaukee Brewers,Hunter Renfroe,Dustin Hunter Renfroe
126,650859,Rengifo_Luis,https://www.mlb.com/player/650859,Luis Rengifo,Rengifo,Los Angeles Angels,Los Angeles Angels,Luis Rengifo,Luis Jose Rengifo
127,668804,Reynolds_Bryan,https://www.mlb.com/player/668804,Bryan Reynolds,Reynolds B,Pittsburgh Pirates,Pittsburgh Pirates,Bryan Reynolds,Bryan Patrick Reynolds
128,663586,Riley_Austin,https://www.mlb.com/player/663586,Austin Riley,Riley,Atlanta Braves,Atlanta Braves,Austin Riley,Michael Austin Riley
129,519203,Rizzo_Anthony,https://www.mlb.com/player/519203,Anthony Rizzo,Rizzo,New York Yankees,New York Yankees,Anthony Rizzo,Anthony Vincent Rizzo
130,663898,Rodgers_Brendan,https://www.mlb.com/player/663898,Brendan Rodgers,Rodgers,Colorado Rockies,Colorado Rockies,Brendan Rodgers,Brendan Austin Rodgers
131,607074,Rodon_Carlos,https://www.mlb.com/player/607074,Carlos Rodon,Rodon,San Francisco Giants,San Francisco Giants,Carlos Rodon,Carlos Antonio Rodon
132,677594,Rodriguez_Julio,https://www.mlb.com/player/677594,Julio Rodriguez,Rodriguez J,Seattle Mariners,Seattle Mariners,Julio Rodriguez,Julio Yarnel Rodriguez
133,668942,Rojas_Josh,https://www.mlb.com/player/668942,Josh Rojas,Rojas J,Arizona Diamondbacks,Arizona Diamondbacks,Josh Rojas,Joshua Luke Rojas
134,500743,Rojas_Miguel,https://www.mlb.com/player/500743,Miguel Rojas,Rojas M,Miami Marlins,Miami Marlins,Miguel Rojas,Miguel Elias Rojas
