PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
deGrom,5.0,3,1,1,0,6,0,1.80
"Nogosek(L, 0-1)",1.0,2,3,3,0,1,2,2.30
"Lopez, Y",1.0,2,1,1,0,2,1,3.38
Hunter,1.0,1,0,0,1,2,0,2.19
,8.0,8,5,5,1,11,3,
