PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Snell(L, 0-2)",5.1,3,3,3,2,7,1,6.00
Stammen,1.2,2,1,1,0,0,1,2.70
"Wilson, S",1.0,0,0,0,0,1,0,3.71
"Hill, T",1.0,0,0,0,0,1,0,7.88
,9.0,5,4,4,2,9,2,
