BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Nola, AuC",4,0,0,1,0,1,1,.239,.600
Cronenworth2B,3,1,2,1,1,0,0,.189,.645
"Machado, M3B",2,0,0,0,2,1,3,.339,1.002
ProfarLF,4,1,1,0,0,2,2,.239,.933
Hosmer1B,4,0,0,0,0,0,1,.358,.854
MyersRF,3,0,1,1,0,0,0,.184,.471
AlfaroDH,2,0,0,0,1,2,0,.208,.634
a-BeatyPH-DH,1,0,0,0,0,0,1,.067,.134
AbramsSS,4,1,0,0,0,1,2,.118,.446
AzocarCF,3,0,1,0,0,2,0,.333,.982
b-GrishamPH,0,0,0,0,0,0,0,.143,.495
,30,3,5,3,4,9,10,,
