PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Gray, S",5.0,1,1,1,4,4,0,3.04
Thielbar,1.1,0,0,0,0,2,0,3.94
Jax,0.2,0,0,0,0,1,0,3.57
Megill,2.0,3,1,1,0,4,0,3.53
"Duran, J(W, 2-3)",1.0,0,0,0,0,1,0,1.94
,10.0,4,2,2,4,12,0,
