PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Cobb,5.0,4,0,0,2,7,0,3.81
"Littell(H, 4)",1.0,0,0,0,0,1,0,4.21
"Young, Al(H, 3)",1.0,1,0,0,1,0,0,1.69
"Brebbia(H, 15)",0.2,2,0,0,0,1,0,2.68
"Doval(BS, 3)",1.1,2,2,2,2,1,0,2.85
"Leone(L, 4-5)",0.1,0,1,0,3,0,0,4.20
,9.1,9,3,2,8,10,0,
