BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McKennaCF,4,0,1,0,0,1,4,.257,.681
a-VavraPH,1,0,0,0,0,1,0,.323,.824
SantanderLF,4,0,1,0,1,0,2,.263,.803
Mountcastle1B,4,0,0,0,0,0,4,.253,.728
RutschmanDH,5,0,1,0,0,2,2,.250,.801
"Urías, R3B",4,1,1,0,0,1,1,.247,.713
HaysRF,4,0,0,0,0,0,1,.260,.749
MateoSS,3,1,1,0,1,1,0,.231,.683
Odor2B,3,0,2,1,1,0,1,.208,.650
ChirinosC,4,0,2,1,0,2,2,.181,.559
,36,2,9,2,3,8,17,,
