PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"McClanahan(W, 11-5)",6.0,7,2,2,3,4,0,2.28
Poche,1.0,1,0,0,0,0,0,3.00
Fairbanks,1.0,1,0,0,0,2,0,3.00
Yacabonis,1.0,0,0,0,0,2,0,7.62
,9.0,9,2,2,3,8,0,
