PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
"Hall, DL(L, 0-1)",3.2,5,5,5,3,6,0,12.27
Baker,1.0,0,0,0,0,2,0,4.21
Watkins,3.0,6,3,3,1,1,1,4.23
Head,0.1,0,0,0,1,0,0,6.49
,8.0,11,8,8,5,9,1,
