BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PhamLF,5,0,1,0,0,2,3,.237,.701
Devers3B,5,0,0,0,0,0,3,.303,.930
BogaertsSS,5,0,1,0,0,1,3,.306,.823
VerdugoRF,2,1,2,0,1,0,0,.277,.721
MartinezDH,4,0,0,0,0,1,3,.278,.781
Hosmer1B,4,1,1,0,0,2,0,.268,.722
Arroyo2B,2,0,1,0,2,0,0,.276,.757
"Duran, JaCF",3,0,0,1,0,2,3,.229,.672
McGuireC,3,0,2,1,0,0,1,.254,.601
"1-Davis, JaPR",0,0,0,0,0,0,0,.333,.782
,33,2,8,2,3,8,16,,
