PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
Lynn,5.0,7,5,5,2,4,1,5.33
"López, R",1.0,2,0,0,0,2,0,3.16
Graveman,1.0,2,1,1,0,0,1,2.45
Foster,1.0,3,2,2,0,0,1,5.18
Hendriks,1.0,0,0,0,0,2,0,2.60
"Ruiz, J(W, 1-0)",1.0,0,0,0,1,1,0,3.90
,10.0,14,8,8,3,9,3,
