BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Anderson, TiSS",4,1,0,0,1,0,3,.314,.779
Vaughn1B,5,2,2,2,0,0,2,.298,.801
Robert Jr.CF,4,2,2,2,1,2,1,.289,.746
"Abreu, JDH",5,0,2,1,0,1,2,.291,.841
SheetsRF,5,1,2,0,0,1,3,.228,.665
PollockLF,0,0,0,0,0,0,0,.242,.637
"Jiménez, ELF",5,1,2,3,0,2,1,.244,.688
EngelRF,0,1,0,0,0,0,0,.240,.651
Moncada3B,3,0,1,0,0,0,1,.188,.523
Harrison3B,1,0,0,0,1,0,2,.241,.676
"Garcia, Le2B",4,0,1,1,0,1,1,.203,.497
ZavalaC,4,1,2,0,0,1,1,.345,.882
,40,9,14,9,3,8,17,,
