PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
"Lodolo(L, 0-1)",4.0,7,5,5,3,4,2,11.25
"Farmer, B",2.0,4,1,1,0,3,1,3.00
"Díaz, A",1.1,1,0,0,1,1,0,0.00
Moreta,1.2,1,1,1,0,2,1,7.36
,9.0,13,7,7,4,10,4,
