BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu2B,3,1,1,0,1,0,1,.272,.770
a-GonzalezPH-2B,2,0,0,0,0,1,4,.236,.685
JudgeCF,3,3,3,3,1,0,0,.281,.978
LocastroCF,2,0,0,0,0,1,3,.200,.694
Rizzo1B,3,3,2,0,1,1,2,.226,.844
StantonDH,3,3,1,0,2,1,1,.237,.835
Donaldson3B,5,1,1,1,0,3,5,.224,.700
CarpenterRF,4,3,2,7,1,1,1,.360,1.406
"Hicks, ALF",3,0,0,1,2,1,2,.231,.705
Kiner-FalefaSS,4,0,1,2,0,0,2,.272,.646
TrevinoC,5,0,1,0,0,0,3,.251,.714
,37,14,12,14,8,9,24,,
