PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Pivetta(L, 5-5)",5.0,6,4,4,2,11,1,3.78
Sawamura,1.0,1,1,1,0,1,1,3.10
"Davis, A",1.0,1,0,0,1,1,0,1.57
Robles,1.0,0,0,0,0,2,0,2.50
,8.0,8,5,5,3,15,2,
