BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Arroyo2B,4,1,1,0,0,0,2,.191,.558
Devers3B,4,0,0,0,0,2,2,.336,.960
MartinezDH,4,0,1,0,0,1,1,.351,.958
VerdugoLF,4,0,2,1,0,1,1,.251,.655
VázquezC,3,0,0,0,1,0,2,.279,.713
CorderoRF,3,1,0,0,1,1,3,.223,.685
Bradley Jr.CF,4,0,1,0,0,2,1,.228,.628
Dalbec1B,3,0,1,1,0,1,0,.193,.577
"Araúz, JSS",3,0,0,0,0,1,2,.000,.000
,32,2,6,2,2,9,14,,
