BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LagaresCF,4,1,1,0,0,0,3,.281,.668
OhtaniP-DH,4,1,2,2,0,2,0,.247,.782
StassiC,3,0,1,0,1,2,0,.250,.743
Walsh1B,4,0,0,0,0,2,3,.243,.731
AdellRF,2,0,2,0,1,0,0,.238,.678
MarshLF,1,0,0,0,0,1,2,.244,.636
"Thomas, DLF-RF",2,1,0,0,1,1,3,.000,.500
"Mayfield, J3B",4,1,0,0,0,1,5,.194,.523
Wade2B,4,0,1,0,0,3,3,.216,.550
"Velazquez, ASS",4,1,1,3,0,3,3,.179,.500
,32,5,8,5,3,15,22,,
