PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
"Márquez(L, 4-7)",6.0,6,4,4,3,7,2,5.90
Gilbreath,1.0,0,0,0,1,1,0,3.86
Colomé,0.2,2,1,1,1,1,0,2.70
Estévez,0.1,0,0,0,0,1,0,5.13
,8.0,8,5,5,5,10,2,
