PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
McKenzie,5.2,4,1,1,2,4,0,3.11
"Morgan(H, 9)",1.0,3,3,3,0,1,0,3.40
"Stephan(W, 4-3)(BS, 2)",1.1,4,0,0,0,2,0,2.70
"Clase(S, 20)",1.0,0,0,0,0,0,0,1.37
,9.0,11,4,4,2,7,0,
