BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,5,2,3,2,0,0,2,.290,.739
"Rosario, ASS",5,1,2,2,0,0,3,.296,.742
"Ramírez, Jo3B",3,0,0,2,0,0,3,.284,.929
"Reyes, FDH",5,0,0,0,0,1,2,.211,.603
Gimenez2B,4,0,2,0,0,0,1,.302,.849
"Miller, O1B",4,0,0,0,0,1,3,.247,.676
"Jones, NRF",3,2,2,0,1,0,1,.333,.965
HedgesC,2,0,1,0,0,0,1,.176,.508
"a-Naylor, JPH",1,0,1,1,0,0,0,.279,.843
1-CallPR,0,1,0,0,0,0,0,.125,.347
MaileC,0,0,0,0,0,0,0,.194,.574
StrawCF,3,1,1,0,0,0,2,.213,.571
,35,7,12,7,1,2,18,,
