BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LRF",5,1,1,0,0,4,1,.234,.675
CallLF,4,1,1,2,1,0,0,.160,.580
Meneses1B,5,1,1,0,0,0,1,.310,.930
"Cruz, NDH",5,0,1,0,0,2,1,.235,.663
"Ruiz, KC",2,1,2,1,2,0,0,.246,.665
Hernández2B,5,1,1,0,0,3,6,.247,.620
"Vargas, I3B",4,0,1,0,0,2,5,.268,.720
AbramsSS,4,0,1,2,0,1,4,.222,.573
RoblesCF,3,1,0,0,1,1,2,.230,.603
,37,6,9,5,4,13,20,,
