PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
Espino,4.1,3,3,3,4,4,0,4.31
Arano,0.2,1,0,0,0,2,0,5.15
Cishek,1.0,0,0,0,0,1,0,3.68
Edwards Jr.,1.0,0,0,0,0,1,0,2.96
"Ramirez(W, 4-1)",1.0,0,0,0,0,0,0,3.30
"Finnegan(S, 7)",1.0,0,0,0,0,2,0,3.26
,9.0,4,3,3,4,10,0,
